city,model,year,season,tas_c
Chicago,GFDL-ESM4,1856,winter,-2.9515
Chicago,GFDL-ESM4,1857,summer,19.5123
Chicago,GFDL-ESM4,1857,winter,-3.8947000000000003
Chicago,GFDL-ESM4,1858,summer,19.553066666666666
Chicago,GFDL-ESM4,1858,winter,-3.7197333333333336
Chicago,GFDL-ESM4,1859,summer,19.520633333333333
Chicago,GFDL-ESM4,1859,winter,-2.1886666666666668
Chicago,GFDL-ESM4,1860,summer,20.5326
Chicago,GFDL-ESM4,1860,winter,-3.1879666666666666
Chicago,GFDL-ESM4,1861,summer,20.535
Chicago,GFDL-ESM4,1861,winter,-1.8288666666666666
Chicago,GFDL-ESM4,1862,summer,20.2871
Chicago,GFDL-ESM4,1862,winter,-2.7045333333333335
Chicago,GFDL-ESM4,1863,summer,20.717633333333335
Chicago,GFDL-ESM4,1863,winter,-1.3888333333333334
Chicago,GFDL-ESM4,1864,summer,21.5904
Chicago,GFDL-ESM4,1864,winter,-2.8397666666666663
Chicago,GFDL-ESM4,1865,summer,20.082233333333335
Chicago,GFDL-ESM4,1865,winter,-1.9214666666666667
Chicago,GFDL-ESM4,1866,summer,19.5168
Chicago,GFDL-ESM4,1866,winter,-3.6999
Chicago,GFDL-ESM4,1867,summer,19.221566666666664
Chicago,GFDL-ESM4,1867,winter,-2.925466666666667
Chicago,GFDL-ESM4,1868,summer,20.062166666666666
Chicago,GFDL-ESM4,1868,winter,-1.7327000000000001
Chicago,GFDL-ESM4,1869,summer,20.84476666666667
Chicago,GFDL-ESM4,1869,winter,-1.3139
Chicago,GFDL-ESM4,1870,summer,20.255933333333335
Chicago,GFDL-ESM4,1870,winter,-1.4054333333333335
Chicago,GFDL-ESM4,1871,summer,18.388366666666666
Chicago,GFDL-ESM4,1871,winter,-1.1479
Chicago,GFDL-ESM4,1872,summer,20.495933333333333
Chicago,GFDL-ESM4,1872,winter,-5.1379
Chicago,GFDL-ESM4,1873,summer,19.956666666666667
Chicago,GFDL-ESM4,1873,winter,-4.192966666666667
Chicago,GFDL-ESM4,1874,summer,20.994600000000002
Chicago,GFDL-ESM4,1874,winter,-3.6626666666666665
Chicago,GFDL-ESM4,1875,summer,20.173166666666667
